Title (News Shots) ,ID,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of April 2020,32732,08-05-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of April 2021,59660,06-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿Insights+ Key Biosimilars Events of August 2019,19809,06-09-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of August 2020,47811,03-09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of August 2021,64082,02-09-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of December 2019,26318,17-01-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of December 2020,55561,28-01-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of February 2020,28570,06-03-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of February 2021,56850,04-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of January 2020,27559,14-02-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of January 2021,55829,04-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of July 2019,18228,10-08-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of July 2020,37976,07-08-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of July 2021,63123,05-08-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of June 2019,16644,04-07-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of June 2020,36028,03-07-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of June 2021,61801,30-06-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of March 2020,30593,10-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of March 2021,58053,01-04-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of May 2019,15281,04-06-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of May 2020,34371,05-06-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of May 2021,60836,03-06-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of November 2019,24287,06-12-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of November 2020,53173,03-12-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of October 2019,22866,01-11-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of October 2020,51699,05-11-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of September 2019,21625,04-10-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of September 2020,49762,01-10-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+ Key Biosimilars Events of September 2021,65278,07-10-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: An Analysis of Biopharma Companies Growth in Last 20 Years (1999-2018),15800,19-06-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: Breakthrough Therapy Designation by the US FDA in 2018,14109,08-05-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: Breakthrough Therapy Designation by the US FDA in 2019,28913,13-03-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: Breakthrough Therapy Designation by the US FDA in 2020,57204,11-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – April 2020,32331,01-05-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – August 2020,47783,04-09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – December 2020,54240,31-12-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – January 2020,30266,31-01-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – July 2020,37718,31-07-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – March 2020,31198,31-03-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – May 2020,32323,29-05-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – November 2020,52779,26-11-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – October 2020,51411,30-10-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – September 2020,49627,30-09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – February 2020,29335,28-02-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: COVID-19 Healthcare News Monthly Updates – June 2020,35011,30-06-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: Key Deals of JP Morgan Healthcare Conference 2020,27096,07-02-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: Key Deals of JP Morgan Healthcare Conference 2021,55429,25-01-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿Insights+: Key Events of ASCO 2019,15548,07-06-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: Key Events of ASCO 2020 Virtual Annual Meeting #ASCO20,34237,01-06-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in 2018,10879,04-03-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in April 2021,60005,13-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in August 2019,20832,20-09-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in August 2020,48696,17-09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in August 2021,64551,16-09-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in December 2019 and January 2020,27907,21-02-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in December 2020,55265,21-01-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in February 2020,29754,27-03-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in February 2021,57533,18-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in January 2021,56325,18-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in July 2020,46560,27-08-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in July 2021,63608,19-08-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in June 2020,37225,24-07-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in June 2021,62367,15-07-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in March 2021,58570,15-04-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in March and April 2020,32745,15-05-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in May 2020,35152,19-06-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in May 2021,61379,17-06-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in November 2019,24838,13-12-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in November 2020,53676,17-12-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in October 2020,52396,19-11-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in September 2020,50434,15-10-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in September 2021,65688,21-10-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Insights+: The US FDA New Drug Approvals in September and October 2019,23452,15-11-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Octavus Consulting Collaborates with IBCI for Delivering of Professional Educational Programs in India from 2020,23963,28-11-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿PharmaShots Awarded as Feedspot’s Top 50 Pharma Blog,11264,13-03-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots Celebrates Successful Accomplishment of One Year,17558,25-07-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots Celebrates Successful Accomplishment of Three Years,62824,29-07-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots Celebrates Successful Accomplishment of Two Years,37420,25-07-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots' Most Read News of 2019,25893,10-01-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots Wishes you a Merry Christmas and a Happy New Year,53939,24-12-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots Wishes you a Merry Christmas and a Happy New Year on the Behalf of Team Octavus!,25188,20-12-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots Year in Review 2018,4006,02-01-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots Year in Review: Biosimilars Approvals in 2018,3994,08-01-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of First Quarter 2019,12272,08-04-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of First Quarter 2020,53552,08-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of First Quarter 2021,58803,22-04-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of Fourth Quarter 2019,26596,24-01-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of Fourth Quarter 2020,54878,14-01-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of Second Quarter 2019,16540,02-07-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of Second Quarter 2020,54153,01-07-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of Second Quarter 2021,61814,01-07-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of Third Quarter 2019,19775,07-10-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of Third Quarter 2020,51294,29-10-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Key Highlights of Third Quarter 2021,64981,30-09-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaShots’ Most Read News of 2020,54210,31-12-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
