Title (News Shots) ,ID,Date,
Pharmashots Interview: Paula Ragan Shares Insights on the Data of Mavorixafor in Combination with Ibrutinib Presented at 2021 EHA Annual Congress,65600,15-10-2021,
PharmaShots Interview: Abbott's Michael Dale Shares Insight on the CE Mark for the Next-Generation Navitor TAVI System,64183,03-09-2021,
PharmaShots Interview: Abbott's Suela Sulo Shares Insights on the Model of Care Addressing Malnutrition Across the Continuum of Care,65442,13-10-2021,
PharmaShots Interview: Accenture’s Rich Birhanzel Shares Insight on the Investment in ixlayer,65835,22-10-2021,
PharmaShots Interview: Adaptimmune's Dennis Williams Shares Insight About the Company's Pathway to Bringing the First-Ever TCR T-Cell Therapy for Solid Tumors to Market,63483,16-08-2021,
PharmaShots Interview: BMS' Dr. Ian Waxman Shares Insights on the Opdivo (nivolumab) + Yervoy (ipilimumab) for dMMR or MSI-H mCRC,64903,28-09-2021,
PharmaShots Interview: CTMA’ Dr. Pierre Pellier Shares Insight on CT-SCOUT to Detect Patients for Clinical Trials in IBD,65403,11-10-2021,
PharmaShots Interview: Cue Biopharma’s Anish Suri Shares Insights on the Data of CUE-401 Presented at 2021 FOCIS Annual Meeting,65559,15-10-2021,
PharmaShots Interview: Dr. Krishnansu S. Tewari and Israel Lowy Share Insight on P-III Data of Libtayo Presented at ESMO Virtual Plenary,62786,28-07-2021,
PharmaShots Interview: Dr. Philip Mease Shares Insights on the Clinical data of Tremfya (guselkumab) Presented in The Lancet Rheumatology,64721,22-09-2021,
PharmaShots Interview: Durect's James E. Brown Shares Insight on the Data of DUR-928 Presented at EASL 2021,64682,20-09-2021,
PharmaShots Interview: Eli Lilly's Dr. Lotusâ€¯Mallbris Shares Insight on the Data of Taltzâ€¯andâ€¯Olumiant Presented at EULAR 2021,62958,02-08-2021,
PharmaShots Interview: Guardant Health's Justin Odegaard Shares Insight on the US FDA's Approval of Guardant360 CDx for Amgen's Lumakras,62846,29-07-2021,
PharmaShots Interview: Janssen's Andrew Greenspan Shares Insight About the New AGA Guidelines Recommending Stelara (Ustekinumab) as a First-Line Treatment Option in Crohn's Disease,63534,17-08-2021,
PharmaShots Interview: Janssen's Jan Wehkamp Shares Insight on the Data from UNIFI Study of Stelara Presented at ECCO,63259,09-08-2021,
PharmaShots Interview: Kaia Health's Konstantin Mehl Shares Insight on the Funding to Transform the Treatment for MSK and COPD,63320,11-08-2021,
PharmaShots Interview: Portage Biotech's Dr. Ian Walters Shares Insight on the Data of INT230-6 Presented at ASCO 2021,64437,13-09-2021,
PharmaShots Interview: Prime Therapeutics' Kelly Pokuta and April Kunze Share Insight on Medical Drug Management Program,63057,03-08-2021,
PharmaShots Interview: Prothena’s Brandon Smith Shares Insight on the Acquisition of Prothena and Novo Nordisk,65640,15-10-2021,
PharmaShots Interview: Rain Therapeutic's Avanish Vellanki Shares Insight on the Initiation of P-III MANTRA Trial of Milademetan for Dedifferentiated Liposarcoma,63705,23-08-2021,
PharmaShots Interview: Recce Pharmaceuticals' James Graham Shares Insight on the P-I/II Clinical Trial of RECCE 327 (R327) for Infected Burn Wounds,64479,14-09-2021,
PharmaShots Interview: Revolo's Jonathan Rigby Shares Insights on the â€˜1104 for Eosinophilic Esophagitis,63574,18-08-2021,
PharmaShots Interview: Saniona's Rami Levin Shares Insight on Tesomet for Hypothalamic Obesity,63905,27-08-2021,
PharmaShots Interview: Sanofi's Laurent Debussche Shares Insight on the Need of SERDs for ER+ Breast Cancer,63216,09-08-2021,
PharmaShots Interview: Sierra Oncology’ Dr. Barbara Klencke Shares Insight on Sierra’s Agreement with AstraZeneca for AZD5153,65356,11-10-2021,
PharmaShots Interview: TFF's Dr. Dale Christensen Shares Insight on the Thin Film Freezing Technology,64522,15-09-2021,
PharmaShots Interview: Xencor's Bassil I. Dahiyat Shares Insight on the US FDA's Approval of COVID-19 Antibody Treatment Leveraging its Technology,63032,03-08-2021,
ViewPoints Article: 3D Bioprinting Represents a Huge Leap in the Pharmaceutical Industry,54342,04-01-2021,
ViewPoints Article: 5 Technologies That Are Reinventing Medicine,64753,23-09-2021,
ViewPoints Article: Adjunctive Nutraceutical Therapies Supporting Immunity in COVID-19,59391,28-04-2021,
ViewPoints Article: COVID-19 â€“ Where Does The Pharmaceutical Industry Go From Here?,49258,28-09-2020,
ViewPoints Article: Covid-19 Impact On Global Telemedicine Market,47572,20-07-2020,
ViewPoints Article: COVID-19 Treatment in India and Abroad,48508,15-09-2020,
ViewPoints Article: COVID-19 Vaccine Distribution the Next Supply Chain Frontier,45965,13-08-2020,
ViewPoints Article: Digital Biomarkers,53559,14-12-2020,
ViewPoints Article: Digital Healthcare in India - Current Trends & Future,49858,05-10-2020,
ViewPoints Article: Digital Revolution in Healthcare and Strategic Role of Medical Affairs Amidst Covid-19 Outbreak,36266,03-07-2020,
ViewPoints Article: Ethno-Pharma- An Emerging Sector,62599,21-07-2021,
ViewPoints Article: How Will the MedTech Industry Navigate The COVID-19 Impact?,35548,22-06-2020,
ViewPoints Article: Immunity &amp; Pregnancy: Unique and Complex,36674,13-07-2020,
ViewPoints Article: Medical Representatives Opinion Survey for Business Continuity with New Normal,46760,24-08-2020,
ViewPoints Article: Nutraceuticals Under Evaluation for COVID-19 Prevention and Treatment,61586,24-06-2021,
ViewPoints Article: Organs on a chip (OOCs) â€“ Transforming Animal Testing,52576,23-11-2020,
ViewPoints Article: Over Prescribed Medications and its Impact,63828,26-08-2021,
ViewPoints Article: Recent Insights into Advances of COVID-19 Treatment,60481,27-05-2021,
ViewPoints Article: Revised approach for First Aid during and after the Catastrophic Pandemic â€“ Safe and Saving,41401,12-08-2020,
ViewPoints Article: Role of Digital Technology in Improving Diagnosis,56478,23-02-2021,
ViewPoints Article: The New Normal and Covid-19 Vaccine Development,40716,05-10-2018,
ViewPoints Article: Virtual Clinical Trials - Are They the Future of India?,35919,25-06-2020,
ViewPoints Article: Wearables in the Market &amp; their Roles,55928,09-02-2021,
PharmaShots Interview: Abbott's Allen Burton Shares Insight on NeuroSphere myPath App,57378,15-03-2021,
PharmaShots Interview: Abbott's Neil Moat Shares Insights on the Next Generation TriClip Transcatheter Tricuspid Valve Repair System,60588,31-05-2021,
PharmaShots Interview: Aceto's Gilles Cottier Shares Insight on the Acquisition of A&amp;C and IsleChem,59849,11-05-2021,
PharmaShots Interview: Adagio Therapeutics' Tillman Gerngross Shares Insight on the Development of Antibodies to Prevent COVID-19,56650,01-03-2021,
PharmaShots Interview: Affimed's Andreas Harstrick Shares Insight on AFM13 and its Data Presented at ASH 2020,55976,10-02-2021,
PharmaShots Interview: Albert Labs' Dr. Malcolm Barratt-Johnson Shares Insights on Psychedelic-Assisted Therapies,61210,11-06-2021,
PharmaShots Interview: ALX Oncology's Dr. Sophia Randolph Shares Insight on the Clinical Collaboration with Zymework,56413,22-02-2021,
PharmaShots Interview: Amolyt Pharma's Thierry Abribat Shares Insight on AZP-3601 for Hypoparathyroidism,59797,10-05-2021,
PharmaShots Interview: Apellis' Federico Grossi Shares Insights on the Data in GA Presented at ARVO 2021,61068,09-06-2021,
PharmaShots Interview: Aravive' s Dr. Gail McIntyre Shares Insight on AVB-500 and its Potential Against ccRCC,58382,09-04-2021,
PharmaShots Interview: Artelo Bio's Dr. Saoirse O'Sullivan Shares Insights on Synthetic Cannabinoid for Cancer Anorexia,58859,23-04-2021,
PharmaShots Interview: Astellas' Dr. Andrew Krivoshik Shares Insights on P-II FAST Study of Zolbetuximab,62721,26-07-2021,
PharmaShots Interview: AstraZeneca's Global Medicine Leader John Houghton Shares Insights on Roxadustat in Treating Patients with Anemia Due to CKD at ASN 2019,23321,12-11-2019,
PharmaShots Interview: Aurinia's Neil Solomons Shares Insights on the Lupkynis,60636,01-06-2021,
PharmaShots Interview: BD's Tony Ezell Shares Insights on the Collaboration with USATF to Provide COVID - 19 Testing for US Athletes,62587,21-07-2021,
PharmaShots Interview: BeyondSpring's Dr. Ramon Mohanlal Shares Insights on the Data of Triple Combo Plinabulin Presented at ASCO 2021,62195,12-07-2021,
PharmaShots Interview: Biogen's Monica Mann Shares Insight on Plegridy to Treat Multiple Sclerosis,58683,20-04-2021,
PharmaShots Interview: Biogen's Wildon R. Farwell Shares Insight on Phase 4 RESPOND Study of Spinraza,57574,19-03-2021,
PharmaShots Interview: bluebird bio's Rich Colvin Shares Insights on the Skysona to Treat Early Cerebral Adrenoleukodystrophy,62254,04-06-2021,
PharmaShots Interview: BMS Foundation's Patricia Mae Doykos Shares Insights on COVID Advocacy Exchange,55620,27-01-2021,
PharmaShots Interview: BoneHealth Technologies' Laura Yecies Shares Insights on OsteoBoost Vibration Belt,55684,02-02-2021,
PharmaShots Interview: Cardiff Oncology's Mark Erlander Shares Insight on the P-I Data of Onvansertib for Metastatic Colorectal Cancer,57967,31-03-2021,
PharmaShots Interview: Caris Life Sciences' Dr. Spetzler Shares Insight on AI-Based MI FOLFOXai Predictor,62757,27-07-2021,
PharmaShots Interview: Caris Life Sciences' Dr. Spetzler Shares Insight on AI-Powered Clinico-Genomic Data Platform,52977,01-12-2020,
PharmaShots Interview: Cellares' Fabian Gerlighaus Shares Insight on Cell Shuttle,53465,09-12-2020,
PharmaShots Interview: Codiak BioSciences' Douglas E. Williams Shares Insight on the Potential of its Engineered Exosomes,58740,20-04-2021,
PharmaShots Interview: Daiichi Sankyo's Ken Keller Shares Insights on NICE Recommendation for Enhertu in HER2 Positive Breast Cancer,60725,02-06-2021,
PharmaShots Interview: Deciphera's Mathew L. Sherman Shares Insight on Data of QINLOCK and DCC-3014 Presented at CTOS 2020,56281,17-02-2021,
PharmaShots Interview: Dicerna's Doug Fambrough Shares Insight on Nedosiran Data Presented at ASN Week 2020,51894,09-11-2020,
"PharmaShots Interview: Dr. Ahmet Sezer, Karl Lewis, and Regeneron's Israel Lowy Share Insights on Libtayo (cemiplimab) for NSCLC &amp; BCC",64941,29-09-2021,
PharmaShots Interview: Dr. Drew Falconer Shares Insights on the Abbott's NeuroSphere Virtual Clinic,59613,03-05-2021,
PharmaShots Interview: Dr. Robert Koenekoop Shares Insights on Stellar Study Evaluating ProQR's QR-421a,59516,03-05-2021,
"PharmaShots Interview: Dr. Sezer, Peter C. Adamson and Israel Lowy Share Insight on the US FDA's Approval of Libtayo (cemiplimab) in Patients with NSCLC with High PD-L1 Expression",57917,30-03-2021,
PharmaShots Interview: Duke's Andrea Taylor Shares Insight on Launch And Scale Speedometer,53219,02-12-2020,
PharmaShots Interview: Eli Lilly's Dr. Lotus Mallbris Shares Insights on Baricitinib,50204,12-10-2020,
PharmaShots Interview: Eli Lilly's Dr. Lotus Mallbris Shares Insights on Mirikizumab,51530,03-11-2020,
PharmaShots Interview: Eli Lilly's Kevin Cammack Shares Insights on Lilly's Collaboration with Global Diabetes Technology Companies,61688,28-06-2021,
PharmaShots Interview: Eli Lilly's Marie Schiller Shares Insight on the Collaboration with Welldoc on New Version of BlueStar App,58127,05-04-2021,
PharmaShots Interview: Enosi LifeSciences' Dr. H. Michael Shepard Shares Insights on TNF-Inhibiting Molecules,55541,27-01-2021,
PharmaShots Interview: Entrada's Dipal Doshi Shares Insights on the Series B Funding Utilize to Advance DMD Program into the Clinic,60213,19-05-2021,
PharmaShots Interview: FibroGen's Peony Yu Shares Insight on Roxadustat,53093,02-12-2020,
PharmaShots Interview: Fluxergy's Tej Patel Shares Insight on Multimodal Diagnostic System,58422,13-04-2021,
PharmaShots Interview: Fusion Pharma's John Valliant Shares Insight on its Collaboration with AstraZeneca,57693,24-03-2021,
PharmaShots Interview: GCCA's Andrew Spiegel Shares Insights on the Clear Your View Campaign,60160,18-05-2021,
PharmaShots Interview: Genentech's Dr. Neil Collinson Shares Insights on Xofluza,48912,22-09-2020,
PharmaShots Interview: Genentech's Ted Omachi Shares Insight on the US FDA's Approval of Xolair in Nasal polyps,54427,06-01-2021,
PharmaShots Interview: Genentech's Ted Omachi Shares Insights on Xolair (omalizumab) PFS,48017,07-09-2020,
PharmaShots Interview: GSK's Dr. Riju Ray Shares Insights on the Role of Community-Based Pulmonologists in Improving COPD Management Among PCPs,54519,07-01-2021,
PharmaShots Interview: GSK's Mike Crichton Shares Insights on the Approval of Benlysta in Europe,61025,08-06-2021,
PharmaShots Interview: GSK's Steve Bradford Shares Insight on Benlysta,56498,24-02-2021,
PharmaShots Interview: Impact of new regulations and trends in the medical device industry in India - interviews of Dr. Bina Naik and Dr. Ashish Indani during DIA Medical Device Conference 2020,61525,22-06-2021,
PharmaShots Interview: Ipsen's Dr. Med. Steven Hildemann Shares Insight on the EC's Approval of Cabometyx + Nivolumab for Advanced Renal Cell Carcinoma,59896,11-05-2021,
PharmaShots Interview: J&J's Sven Sjovall & Dr. Mark Watt Share Insight on Nicorette's Latest Digital Smoking Cessation Offering,59694,05-05-2021,
PharmaShots Interview: Janssen's Andrew Greenspan Shares Insights on the Data Presented at ACR2020,54712,11-01-2021,
PharmaShots Interview: Janssen's Dr. Allitia DiBernardo Shares Insights on the Availability of Ponvory in the US,60370,24-05-2021,
PharmaShots Interview: Janssen's Dr. Jan Wehkamp and Icahn School of Medicine's Dr. Bruce Sands Share Insights on the Data Presented at DDW 2021,61927,02-07-2021,
PharmaShots Interview: Janssen's Kiran Patel Shares Insights on Amivantamab for Metastatic EGFR Exon 20+ NSCLC,54779,13-01-2021,
PharmaShots Interview: Janssen's Mark Wildgust along with Two Other Key Speakers Share Insights on Data Presented at ASCO 2021,62451,19-07-2021,
PharmaShots Interview: Janssen's Nan Li Shares Insights on the Data Presented at ISPOR 2021,61466,21-06-2021,
PharmaShots Interview: Kaia Health's Jonas Duss Shares Insights on COPD Pulmonary Rehabilitation App,55100,19-01-2021,
PharmaShots Interview: Kezar's Noreen Henig Shares Insight on Therapeutic Potential of KZR-616,53708,17-12-2020,
"PharmaShots Interview: Leap Therapeutic's Douglas Onsi Shares Insight on its Lead Candidate, DKN-01",58475,14-04-2021,
PharmaShots Interview: Legend's Ying Huang Shares Insight on ASH 2020 Data and Initiation of BLA Rolling Submission for Cilta-cel,56573,25-02-2021,
PharmaShots Interview: Lumen's Brian Finrow Shares Insight on Need for the Cheaper Methods to Engineer Antibodies as a Treatment for COVID-19,56993,26-06-2020,
PharmaShots Interview: Marc Meachem Shares Insight on the ViiV's 2021 Commitment to the Community,58210,07-04-2021,
PharmaShots Interview: Maxwell Biosciences' Dr. Gill Diamond and Joshua McClure Share Insights Novel Peptoids with Potent Antiviral Activity Against HSV-1 and SARS-CoV-2,60970,07-06-2021,
PharmaShots Interview: Medicago's Nathalie Landry Shares Insight on Plant-Derived Vaccine for COVID-19,56186,15-02-2021,
PharmaShots Interview: Medicago's Nathalie Landry Shares Insights on the Phase 2 Results of Plant-Based COVID-19 Vaccine,61734,29-06-2021,
PharmaShots Interview: Medicenna's Dr. Fahar Merchant Shares Insights on the Bispecific Superkines,60455,26-05-2021,
PharmaShots Interview: Medidata's Anthony Costello Shares Insights on the Transformative Sensor Cloud Platform for Connected Devices and Wearable Sensors in Clinical Trials,60407,25-05-2021,
PharmaShots Interview: Medtronic's Julie Foster Shares Insight on InPen Integrated with Guardian Connect CGM,53281,02-12-2020,
PharmaShots Interview: Merz Aesthetics' Dr. Terri Phillips Shares Insight on GP Campaign for Xeomin,57135,27-02-2020,
PharmaShots Interview: Myovant's Dave Marek Shares Insights on the US FDA's Approval of Myfembree in Uterine Fibroids,62498,20-07-2021,
PharmaShots Interview: Myovant's Juan Camilo Arjona Ferreira Shares Insights on the Ryeqo,61962,05-07-2021,
PharmaShots Interview: Myriad Genetics' Dr. Todd D. Cohen Shares Insight on Prolaris Test's Ability to Guide Prostate Cancer Treatment,57755,25-03-2021,
PharmaShots Interview: Myriad Genetics' Thomas Slavin Shares Insights on the Data Validating Breast Cancer PRS Across Ancestries,61501,22-06-2021,
PharmaShots Interview: Neoleukin's Daniel-Adriano Silva Shares Insight on Novel Protein Designed to Treat or Block SARS-COV-2,53800,18-12-2020,
PharmaShots Interview: NephroSant's Dr. Minnie Sarwal Shares Insights on QSant and the Need for Precision Medicine in Kidney Health,62033,07-07-2021,
PharmaShots Interview: NeuBase Therapeutics' Dietrich Stephan Shares Insight on its Approach to Genetic Medicine,58177,06-04-2021,
PharmaShots Interview: Neurocrine's Dr. Eiry Roberts Shares Insight on Ongentys (opicapone),52241,16-11-2020,
PharmaShots Interview: n-Lorem Foundation's Dr. Stanley T. Crooke Shares Insights on its Collaboration with Ultragenyx to Provide Personalized Medicines to Ultra-Rare Patients,61290,15-06-2021,
PharmaShots Interview: Novocure's William F. Doyle Shares Insight on Company's Accomplishments in the Treatment of Glioblastoma and Mesothelioma,53387,09-12-2020,
PharmaShots Interview: Organicell's Dr. Maria Ines Mitrani Shares Insights on the Zofin for COVID-19,61269,15-06-2021,
"PharmaShots Interview: Paige's CEO, Leo Grady Shares Insights on its Series B Funding and the FDA's 510(k) Clearance for FullFocus Viewer",37085,17-07-2020,
PharmaShots Interview: PGDx's Megan Bailey Shares Insight on the Partnership with QIAGEN and Almac,56787,03-03-2021,
"PharmaShots Interview: ProQR's Daniel A. de Boer Shares Insight on Sepofarsen, the First Treatment for Leber Congenital Amaurosis 10 (LCA10)",56925,08-03-2021,
PharmaShots Interview: Pyxis Oncology's Dr. Lara S. Sullivan and Dr. Ronald Herbst Share Insights on the Importance of Series B Funding to Advance their Portfolio,59035,26-04-2021,
PharmaShots Interview: Q BioMed's Denis Corin Shares Insights on the Agreement to Serve US Department of Defense and Veterans Affairs,62304,13-07-2021,
PharmaShots Interview: QIAGEN's Kai te Kaat Shares Insights on QIAprep&amp;amp Viral RNA UM Kit,50611,19-10-2020,
PharmaShots Interview: Repertoire's Andrea DiFabio Shares Insights on the Importance of Series B Funding,61762,30-06-2021,
PharmaShots Interview: SiO2's Lawrence Ganti Shares Insight on the Efforts to Scale Up the Manufacturing of Vials for COVID-19 Vaccines,57649,22-03-2021,
PharmaShots Interview: Synthego's Dr. Bob Deans Shares Insights on the Launch of its Eclipse Platform for Drug Discovery,61522,22-06-2021,
PharmaShots Interview: Takeda’ Salomé Juethner Shares Insights on the Data Publication to Support the Sustained Safety and Efficacy of Takhzyro,65198,06-10-2021,
PharmaShots Interview: Takeda's Andrea Stancati Shares Insights on Entyvio (vedolizumab) SC Formulation,51086,23-10-2020,
PharmaShots Interview: Takeda's Nirav Desai Shares Insight on Data of TAK-721 Presented at ACG 2020,57852,29-03-2021,
PharmaShots Interview: Tetra Therapeutics' Mark Gurney Shares Insight on Topline Results of BPN14770 for Fragile X Syndrome,57443,01-03-2021,
PharmaShots Interview: Tilak Healthcare's Edouard Gasser Shares Insights on OdySight,55815,04-02-2021,
PharmaShots Interview: True Digital Surgery's Aidan Foley Shares Insight on the Aesculap Aeos Robotic Digital Microscope,52814,26-11-2020,
PharmaShots Interview: Views of Dr. Upendra Kaul and Dr. Anish Desai on DIA Medical Device Conference 2020,27801,18-02-2020,
PharmaShots Interview: Vigeo Therapeutics' Dr. Lou Vaickus and Dr. Jing Watnick Share Insights on VT1021 Data Presented at SITC 2020,54930,15-01-2021,
PharmaShots Interview: ViiV Healthcare's Dr. Kimberly Smith Shares Insight on the Data Presented at CROI 2021,58635,19-04-2021,
PharmaShots Interview: ViiV Healthcare's Duncan Short Shares Insight on PROgress Study Demonstrating that Pre-Visit Survey Can Improve HIV Care,55895,08-02-2021,
PharmaShots Interview: ViiV Healthcare's Kimberly Smith Shares Insight on Data of Long-Acting Cabotegravir and Rilpivirine Presented at IDWeek 2020,54023,28-12-2020,
PharmaShots Interview: ViiV Healthcare's Max Lataillade Shares Insight on Rukobia,57314,12-03-2021,
"PharmaShots Interview: Women First Digital's Sneha Nair and Claire Crossett Share Insights on the Launch of World's First Abortion Virtual Assistant, Ally on WhatsApp",60114,17-05-2021,
PharmaShots Interview: Zealand Pharma's Dr. David Kendall Shares Insights on Zegalogue for Severe Hypoglycemia in Pediatric and Adult Patients with Diabetes,64865,27-09-2021,
PharmaShots Interview: Zealand Pharma's Emmanuel Dulac Shares Insights on Zegalogue for Severe Hypoglycemia in Pediatric and Adult Patients with Diabetes,59351,28-04-2021,
"PharmaShots Interview: Zogenix's Bradley Galer Shares Insight on Fintepla (fenfluramine, oral solution)",56232,16-02-2021,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,