Title (News Shots) ,ID,Date
Merck Presents Results of Islatravir + Doravirine in P-IIb Clinical Trial for the Treatment of HIV-1 at EACS 2021,65863,27-10-2021
Teva Signs an Exclusive WW License Agreement with Modag to Develop Anle138b and Sery433 for Neurodegenerative Disease,65864,27-10-2021
PharmaShots Interview: Astellas’ Txema Sanz Shares Insights on the Evrenzo (roxadustat) for Symptomatic Anemia Associated with Chronic Kidney Disease,65879,27-10-2021
Alnylam Reports Results of Vutrisiran in P-III HELIOS-A Study for the Treatment of hATTR Amyloidosis with Polyneuropathy,65891,28-10-2021
Curacle Signs a License and Collaboration Agreement with Théa for Development and Commercialization of CU06-RE to treat Diabetic Macular Edema and Wet-AMD,65892,28-10-2021
Takeda to Acquire GammaDelta to Advance the Development of Allogeneic γδT Cell Therapies for the Treatment of Solid Tumors,65893,28-10-2021
Innovent Entered into a Collaboration Agreement with NeoCura to Evaluate Sintilimab + NEO_PLIN2101 for Cancer in China,65903,28-10-2021
Immunic Reports Completion of Patient Enrollment in P-II CALDOSE-1 Trial of IMU-838 for the Treatment of Ulcerative Colitis,65906,28-10-2021
Hutchmed Initiates P-III ESLIM-01 Trial of HMPL-523 for the Treatment of Immune Thrombocytopenia in China,65908,28-10-2021
Top 20 Generics Pharma Companies Based On 2020 Revenue,65918,28-10-2021
Kite's Tecartus (brexucabtagene autoleucel) Receives Health Canada’s Approval for the Treatment of Relapsed or Refractory Mantle Cell Lymphoma,65955,29-10-2021
Incyte Reports EMA’s Validation of MAA for Ruxolitinib Cream to Treat Vitiligo,65956,29-10-2021
AbbVie Reports Results of ABBV-951 (foslevodopa/foscarbidopa) in P-III M15-736 Study for the Treatment of Advanced Parkinson's Disease,65968,29-10-2021
Novartis Reports the US FDA and EMA’s Acceptance of sBLA for Kymriah (tisagenlecleucel) and Granted Priority Review to Treat R/R Follicular Lymphoma,65972,29-10-2021
Impact Receives US FDA’s IND Clearance for IMP9064 to Treat Solid Tumor,65976,29-10-2021
ADC Reports EMA’s Validation of MAA for Zynlonta to Treat R/R Diffuse Large B-Cell Lymphoma,65982,29-10-2021
"PharmaShots Weekly Snapshots (October 25 – 29, 2021)",65986,29-10-2021
Gilead Reports Interim Results of Biktarvy (bictegravir/emtricitabine/tenofovir alafenamide) in  BICSTaR Study to Treat HIV,66001,01-11-2021
Merck Presents New Data of Keytruda (pembrolizumab) in Three Studies for the Treatment of Melanoma at SMR 2021,66005,01-11-2021
Novartis’ Scemblix (asciminib) Receives the US FDA’s Approval for the Treatment of Chronic Myeloid Leukemia,66008,01-11-2021
AstraZeneca and Hutchmed Initiate P-III SAMETA Trial of Imfinzi (durvalumab) + Orpathys (savolitinib) for Advanced Papillary Renal Cell Carcinoma,66020,01-11-2021
AstraZeneca to Divest Global Rights of Eklira and Duaklir to Covis Pharma in $270M Deal,66029,01-11-2021
Incyte Reports the US FDA’s Acceptance of NDA for Parsaclisib to Treat R/R Non-Hodgkin Lymphomas,66032,01-11-2021
Exclusive Interview with PharmaShots: Dr. Briggs W. Morrison of Syndax Share Insight on the Syndax’ Agreement with Incyte for Axatilimab,66036,01-11-2021
Janssen Reports Results of Tremfya (guselkumab) in P-III DISCOVER-1 &amp; 2 Trials for the Treatment of Active Psoriatic Arthritis,66061,02-11-2021
Junshi and Coherus Report the US FDA Acceptance of BLA for Toripalimab to Treat Nasopharyngeal Carcinoma,66062,02-11-2021
Merck Entered into a WW Research Collaboration and License Agreement with Synthekine to Develop Novel Cytokine Therapeutics,66063,02-11-2021
Moderna Entered into a Research and Development Collaboration with Metagenomi to Develop In Vivo Gene Editing Therapeutics,66073,02-11-2021
Antengene’s Receives NMPA’s IND Approval for P-Ib MATCH Study of ATG-008 (onatasertib) ATG-010 (selinexor) to Treat Diffuse Large B-Cell Lymphoma,66074,02-11-2021
AstraZeneca Reports Results of Saphnelo in P-III TULIP Clinical Trial Program for the Treatment of Systemic Lupus Erythematosus,66075,02-11-2021
PharmaShots Interview: BioCorRx’ Brady Granier Shares Insights on the New Agreement with Recro to Support BICX104,66096,02-11-2021
Ionis Initiates P-III CORE Study of Olezarsen for the Treatment of Severe Hypertriglyceridemia,66103,03-11-2021
Roche Entered into a Clinical Trial Supply Agreement with Galecto to Evaluate GB1211 + Tecentriq (atezolizumab) in P-IIa Trial for 1L Treatment of NSCLC,66104,03-11-2021
Novartis Entered into a Collaboration and License Agreement with Dunad to Develop Oral Targeted Protein Degrader Therapies,66105,03-11-2021
"Lonza Collaborates with Codiak to Acquire its Exosomes Manufacturing Facility in Lexington, Massachusetts (US)",66119,03-11-2021
Amylyx Submits NDA to the US FDA for AMX0035 to Treat Amyotrophic Lateral Sclerosis,66120,03-11-2021
uniQure Provides Positive Recommendation to Advance P- I/II Study of AMT-130 for Huntington Disease,66121,03-11-2021
PharmaShots Interview: Diffusion’s Dr. Bob Cobuzzi Shares Insights on the Trans Sodium Crocetinate (TSC) to Improve Hypoxia,66136,03-11-2021
"Coherus Reports the US FDA’s Acceptance of BLA for CHS-201 (biosimilar, ranibizumab)",66141,01-10-2021
"Biocad Presents Results of BCD-021 (biosimilar, bevacizumab) in P-III Study for the Treatment of NSCLC at ESMO 2021",66143,27-10-2021
Viatris' Interchangeable Insulin Biosimilar Listed on Express Scripts’ Largest Formulary in the US,66148,20-10-2021
"PharmaShots Weekly Snapshots (November 01 – 03, 2021)",66157,05-11-2021
BMS Collaborates with Inspirna to Evaluate Yervoy (ipilimumab) + RGX-104 (abequolixron) for the Treatment of Metastatic Endometrial Cancer,66166,08-11-2021
Ascletis Entered into an Exclusive WW License Agreement with Suzhou Alphamab for ASC22 (envafolimab) to Treat Hepatitis B and Other Viral Diseases,66170,08-11-2021
GSK Presents Results of Daprodustat in P-III ASCEND Program for the Treatment of Anemia due to Chronic Kidney Disease at ASN Kidney Week 2021,66178,08-11-2021
Pfizer Reports Interim Results of Paxlovid (COVID-19 Oral Antiviral Therapy) in P-II/III EPIC-HR Study for the Treatment of COVID-19,66182,08-11-2021
Boehringer Ingelheim and Eli Lilly Present Results of Jardiance (empagliflozin) in P-III EMPEROR-Preserved Trial for HFpEF at ASN Kidney Week 2021,66187,08-11-2021
Alcon to Acquire Ivantis for ~$475M,66190,08-11-2021
PharmaShots Interview: Dr. Trevor Feinstein and BeyondSpring’s Dr. Lan Huang Shares Insight on the Data of Plinabulin + Docetaxel for NSCLC with EGFR Wild Type,66195,08-11-2021
I-Mab Collaborates with Roche Diagnostics to Co-Develop CDx Solutions at the 4th CIIE (Shanghai),66205,09-11-2021
Regeneron Reports Results of REGEN-COV (casirivimab and imdevimab) in P-III Study Against COVID-19,66206,09-11-2021
Biotech Acquisition Company Entered into a Merger Agreement with Blade Therapeutics,66207,09-11-2021
Amgen Reports Results of Aimovig (erenumab-aooe) in P-lV Study for the Treatment of Episodic and Chronic Migraine,66219,09-11-2021
Novartis Presents Two-Year Data of Cosentyx (secukinumab) in P-III JUNIPERA Study for JPsA and ERA at ACR 2021,66220,09-11-2021
Kronos Bio Signs a Multi-Year Collaboration with Tempus for Access to its Platform,66221,09-11-2021
PharmaShots Interview: Thermo Fisher Scientific’ Garret Hampton Shares Insight on the Multiyear Agreement with AstraZeneca for NGS-based CDx,66234,09-11-2021
Blueprint Medicines Signs an Exclusive Collaboration and License Agreement with Zai Lab to Develop and Commercialize BLU-945 and BLU-701 in Greater China,66241,10-11-2021
Pfizer Signs a Commercialization Arrangement with Biohaven for Rimegepant to Treat Migraine,66242,10-11-2021
Coloplast to Acquire Atos Medical for ~$2.49B,66243,10-11-2021
Exelixis Reports Completion of Patient Enrollment in P-III CONTACT-01 Trial of Cabometyx (cabozantinib) + Tecentriq (atezolizumab) for Metastatic NSCLC,66255,10-11-2021
Zai Lab Entered into an Exclusive License Agreement with Karuna Therapeutics to Develop and Commercialize KarXT (xanomeline-trospium) in Greater China,66256,10-11-2021
AbbVie Presents New Post-Hoc Analyses of Rinvoq (upadacitinib) in P-III SELECT-PsA 1 &amp; 2 trials for Active Psoriatic Arthritis at ACR 2021,66257,10-11-2021
PharmaShots Interview: Janssen’s Lloyd Miller Shares Insight on the Data of Tremfya (guselkumab) Presented at EADV 2021,66272,10-11-2021
I-Mab Entered into a Collaboration with Jumpcan to Develop and Commercialize Eftansomatropin Alfa (TJ101) in Mainland China,66280,11-11-2021
Genentech Enters into a Multi-Year Research Collaboration with Novome Biotechnologies to Develop Targets Against Inflammatory Bowel Disease,66281,11-11-2021
Finch Reports Results of CP101 in P-II PRISM-EXT Trial for the Prevention of Recurrent C. difficile Infection,66286,11-11-2021
Secarna Signs Multiple Agreement with Achilles Therapeutics to Develop Optimized T cell Therapies,66295,11-11-2021
Horizon Reports First Patient Enrollment in P-IIb Trial of HZN-825 for the Treatment of Diffuse Cutaneous Systemic Sclerosis,66297,11-11-2021
Mustang Bio Signs an Exclusive WW License Agreement with Leiden University Medical Centre for Lentiviral Gene Therapy to Treat RAG1 Severe Combined Immunodeficiency,66299,11-11-2021
Insights+ Key Biosimilars Events of October 2021,66311,11-11-2021
Organon to Acquire Forendo for ~$954M,66316,12-11-2021
Celltrion’s CT-P59 (regdanvimab) Receives CHMP’s Positive Opinion for the Treatment of COVID-19,66327,12-11-2021
Boehringer Ingelheim and Eli Lilly Report the US FDA’s Acceptance of sNDA and Granted Priority Review for Jardiance (empagliflozin) to Treat HFpEF,66332,12-11-2021
Oncorus Signs an Exclusive License Agreement with Gaeta for IL-12 in Combination with Immune Checkpoint Inhibitors to Treat Cancer,66337,12-11-2021
Novo Nordisk’s Wegovy (semaglutide) Receives CHMP’s Recommendation for Approval to Treat Obesity,66342,12-11-2021
Eisai Presents Results of Lecanemab in P-IIb Study 201 Study for the Treatment of Alzheimer's Disease at CTAD 2021,66345,12-11-2021
"PharmaShots Weekly Snapshots (November 08 – 12, 2021)",66350,12-11-2021
Regenxbio Presented Interim Results of RGX-314 in P-II AAVIATE and ALTITUDE Trials for Wet AMD and Diabetic Retinopathy at AAO 2021,66357,15-11-2021
GSK and Vir’s Sotrovimab Meet its Primary Endpoints in P-III COMET-TAIL Trial for the Treatment of COVID-19,66358,15-11-2021
Amgen’s Lumykras (sotorasib) Receives CHMP’s Positive Opinion for the Treatment of KRAS G12C-Mutated Advanced Non-Small Cell Lung Cancer,66359,15-11-2021
AcelRx to Acquire Lowell for ~$32.5M,66369,15-11-2021
Vertex’s Kaftrio (ivacaftor/tezacaftor/elexacaftor) + Ivacaftor Receives CHMP’s Positive Opinion for the Treatment of Cystic Fibrosis in Children Aged 6 to 11,66370,15-11-2021
Innovent Presented Results of IBI302 in P-Ib Clinical Trial for the Treatment of Neovascular Age-Related Macular Degeneration at AAO 2021,66371,15-11-2021
PharmaShots Interview: Genmab’s Jan van de Winkel Shares Insight on the Tivdak (tisotumab vedotin-tftv) for the Treatment of Recurrent or Metastatic Cervical Cancer,66390,15-11-2021
Entos Entered into an Agreement with BioMarin for Gene Therapies to Treat Genetic Diseases,66400,16-11-2021
"Janssen and BMS Present Results of Milvexian in P-II AXIOMATIC-TKR Study for the Treatment of TKR Surgery at AHA 2021, Published in NEJM",66401,16-11-2021
Coherus and Junshi’s Toripalimab Receive the US FDA’s Orphan Drug Designation for the Treatment of Esophageal Cancer,66402,16-11-2021
Mirum Reports Six Years Results of LIvmarli (maralixibat) for the Treatment of Alagille Syndrome,66412,16-11-2021
Celltrion’s Regdanvimab Receives the EC’s Approval for the Treatment of COVID-19,66413,16-11-2021
AstraZeneca and Moderna Present Results of AZD8601 in P-IIa EPICCURE Trial for the Treatment of Heart Failure at AHA 2021,66414,16-11-2021
"PharmaShots Interview: Paracrine’s Christopher J. Calhoun Shares Insight on the First Autologous, Device-Based Cell Therapy Platform",66435,16-11-2021
Merck Reports Results of Arpraziquante in P-III Clinical Trial for the Treatment of Schistosomiasis,66443,17-11-2021
Viatris and Biocon Launch Semglee (insulin glargine-yfgn) and Insulin Glargine (insulin glargine-yfgn) for the Treatment of Diabetes in the US,66444,17-11-2021
Sotio Signs a Multiple Agreement with LegoChem Biosciences to Develop Novel Therapeutics for the Treatment of Solid Tumors,66445,17-11-2021
Merck and Ridgeback Present Results of Molnupiravir in P-III MOVe-OUT Trial for the Treatment of COVID-19 at ASTMH 2021,66455,17-11-2021
AbbVie’s Skyrizi (risankizumab) Receives EC’s Approval for the Treatment of Active Psoriatic Arthritis,66456,17-11-2021
Biogen’s Vumerity (diroximel fumarate) Receives the EC’s Approval for the Treatment of Relapsing-Remitting Multiple Sclerosis,66457,17-11-2021
PharmaShots Interview: NervGen's Paul Brennan Shares Insights on NVG-291 and its Interim Data for the Treatment of Neurodegenerative Diseases,66471,17-11-2021
Takeda Exercises its Option with Denali to Co-Develop and Co-Commercialize DNL593 (PTV:PGRN) for Frontotemporal Dementia-Granulin,66482,18-11-2021
Merck KGaA Collaborated with Burning Rock for Liquid-biopsy Based CDx Development,66487,18-11-2021
AstraZeneca’s Lokelma Receives Fast Track Designation for the Treatment of Chronic Haemodialysis with Hyperkalaemia,66490,18-11-2021
Allergan’s Vuity Receives the US FDA’s Approval as First Eye Drop for the Treatment of Presbyopia,66495,29-10-2021
ChemoCentryx’s Tavneos (avacopan) Receives the US FDA’s Approval as an Adjunctive Treatment for Adult Patients with ANCA-Associated Vasculitis,66496,08-10-2021
OncoOne Entered into an Agreement with GenScript ProBio for the Manufacturing of Monoclonal Antibody Therapies Targeting oxMIF,66497,18-11-2021
AstraZeneca Reports Results of AZD7442 in P-III PROVENT and TACKLE Trial for the Treatment of COVID-19,66516,18-11-2021
Bausch + Lomb and Clearside’s Xipere Receive the US FDA’s Approval for the Treatment of Macular Edema Associated with Uveitis,66519,25-10-2021
GSK’s Nucala (mepolizumab) Receives the EC’s Approval for the Treatment of Eosinophil-Driven Diseases,66520,18-11-2021
Insights+: The US FDA New Drug Approvals in October 2021,66529,18-11-2021
Novo Nordisk to Acquire Dicerna for ~$3.3B,66533,19-11-2021
Merck’s Keytruda (pembrolizumab) Receives the US FDA’s Approval as a Adjuvant Therapy for Renal Cell Carcinoma,66537,19-11-2021
Gilead Exercises its Options with Arcus for its Three Clinical-Stage Programs to Treat Cancers,66548,19-11-2021
Daiichi Sankyo Reports Results of Quizartinib in P-III QuANTUM-First Trial for the Treatment of FLT3-ITD Positive AML,66564,19-11-2021
Antengene’s Selinexor (ATG-010) Receives NMPA’s IND Approval for P-I/II SWATCH Study to Treat Non-Hodgkin Lymphoma,66570,19-11-2021
Jazz' Sunosi (solriamfetol) Receives NICE Recommendation for the Treatment of Excessive Daytime Sleepiness Caused by Narcolepsy,66572,19-11-2021
"PharmaShots Weekly Snapshots (November 15 – 19, 2021)",66578,19-11-2021